唯一编号,服务目录编号,服务类型,服务名称,数量,单位,单价,备注,开通时间,关停时间,计费开始时间,本期计费开始时间,本期计费截至日期,本月核算天数,使用天数,本月核算金额,应计费天数,合计费用
DB0447,5,数据库服务,达梦数据库,1,套/日,284.17,181.188.10.8,2026/04/14,,2026/07/13,2026/04/14,2026/04/30,17,,"￥4,830.89",0,￥0.00
DB0448,50,安全服务,VPN-10用户,1,套/日,22.77,,2025/09/29,2026/04/14,2025/12/28,2026/04/01,2026/04/13,13,,￥296.01,13,￥296.01
DB0449,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,181.188.10.2,2025/09/29,,2025/12/28,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0450,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,181.188.10.4,2025/09/29,,2025/12/28,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0451,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,181.188.10.5,2025/09/29,,2025/12/28,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0452,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,181.188.10.3,2025/09/29,,2025/12/28,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0453,50,安全服务,VPN-10用户,1,套/日,22.77,,2025/11/05,2026/04/14,2026/02/03,2026/04/01,2026/04/13,13,,￥296.01,13,￥296.01
DB0454,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.216.77,2025/11/05,2026/04/01,2026/02/03,2026/04/01,,0,,￥0.00,0,￥0.00
DB0455,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.216.230,2025/11/05,2026/04/01,2026/02/03,2026/04/01,,0,,￥0.00,0,￥0.00
DB0456,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.216.184,2025/11/05,2026/04/01,2026/02/03,2026/04/01,,0,,￥0.00,0,￥0.00
DB0457,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.216.20,2025/11/05,2026/04/01,2026/02/03,2026/04/01,,0,,￥0.00,0,￥0.00
DB0458,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.216.83,2025/10/27,2026/04/01,2026/01/25,2026/04/01,,0,,￥0.00,0,￥0.00
DB0459,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.216.46,2025/11/05,,2026/02/03,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0460,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.216.147,2025/11/05,,2026/02/03,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0461,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.216.62,2025/11/05,,2026/02/03,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0462,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.216.92,2025/10/27,,2026/01/25,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0463,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.216.88,2025/10/27,,2026/01/25,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0464,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.216.238,2025/10/27,,2026/01/25,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0465,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.216.42,2025/11/05,,2026/02/03,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0466,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.216.101,2025/11/05,,2026/02/03,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0467,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,192.168.216.9,2025/10/27,,2026/01/25,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0468,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,,2026/04/01,,2026/06/30,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0469,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,,2026/04/01,,2026/06/30,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0470,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,,2026/04/01,,2026/06/30,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0471,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,,2026/04/01,,2026/06/30,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0472,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,,2026/04/01,,2026/06/30,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0473,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,,2026/04/01,,2026/06/30,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0474,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,,2026/04/01,,2026/06/30,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0475,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,,2026/04/01,,2026/06/30,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0476,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,,2026/04/01,,2026/06/30,2026/04/01,2026/04/30,30,,￥58.50,0,￥0.00
DB0477,5,数据库服务,人大金仓数据库,2,套/日,166.3,,2025/11/05,,2026/02/03,2026/04/01,2026/04/30,30,,"￥9,978.00",30,"￥9,978.00"
DB0478,14,数据库服务,国产向量数据库-海贝TRSv10,3,套/日,710.43,,2025/11/05,,2026/02/03,2026/04/01,2026/04/30,30,,"￥63,938.70",30,"￥63,938.70"
DB0479,15,数据库服务,国产向量数据库-海贝RSv10维保费,3,套/日,71.04,,2025/11/05,,2026/02/03,2026/04/01,2026/04/30,30,,"￥6,393.60",30,"￥6,393.60"
DB0480,13,数据库服务,国产关系型数据库-OceanBase,1,套/日,85.67,,2025/11/05,,2026/02/03,2026/04/01,2026/04/30,30,,"￥2,570.10",30,"￥2,570.10"
DB0481,50,安全服务,VPN-10用户,1,套/日,22.77,,2026/02/06,2026/04/14,2026/05/07,2026/04/01,2026/04/13,13,,￥296.01,0,￥0.00
DB0482,30,操作系统服务,OpenEuler,1,套/日,0,192.168.247.186,2026/01/29,,2026/04/29,2026/04/01,2026/04/30,30,,￥0.00,2,￥0.00
DB0483,30,操作系统服务,OpenEuler,1,套/日,0,192.168.247.92,2026/01/29,,2026/04/29,2026/04/01,2026/04/30,30,,￥0.00,2,￥0.00
DB0484,30,操作系统服务,OpenEuler,1,套/日,0,192.168.247.185,2026/01/29,,2026/04/29,2026/04/01,2026/04/30,30,,￥0.00,2,￥0.00
DB0485,30,操作系统服务,OpenEuler,1,套/日,0,192.168.247.90,2026/01/29,,2026/04/29,2026/04/01,2026/04/30,30,,￥0.00,2,￥0.00
DB0486,30,操作系统服务,OpenEuler,1,套/日,0,192.168.247.62,2026/01/29,,2026/04/29,2026/04/01,2026/04/30,30,,￥0.00,2,￥0.00
DB0487,30,操作系统服务,OpenEuler,1,套/日,0,192.168.247.44,2026/01/29,,2026/04/29,2026/04/01,2026/04/30,30,,￥0.00,2,￥0.00
DB0488,30,操作系统服务,OpenEuler,1,套/日,0,192.168.247.124,2026/04/15,,2026/07/14,2026/04/15,2026/04/30,16,,￥0.00,0,￥0.00
DB0489,30,操作系统服务,OpenEuler,1,套/日,0,192.168.247.24,2026/04/15,,2026/07/14,2026/04/15,2026/04/30,16,,￥0.00,0,￥0.00
DB0490,30,操作系统服务,OpenEuler,1,套/日,0,192.168.247.189,2026/04/15,,2026/07/14,2026/04/15,2026/04/30,16,,￥0.00,0,￥0.00
DB0491,30,操作系统服务,OpenEuler,1,套/日,0,192.168.247.82,2026/04/15,,2026/07/14,2026/04/15,2026/04/30,16,,￥0.00,0,￥0.00
DB0492,30,操作系统服务,OpenEuler,1,套/日,0,192.168.247.210,2026/04/15,,2026/07/14,2026/04/15,2026/04/30,16,,￥0.00,0,￥0.00
DB0493,30,操作系统服务,OpenEuler,1,套/日,0,192.168.247.221,2026/04/15,,2026/07/14,2026/04/15,2026/04/30,16,,￥0.00,0,￥0.00
DB0494,30,操作系统服务,OpenEuler,1,套/日,0,192.168.247.230,2026/04/15,,2026/07/14,2026/04/15,2026/04/30,16,,￥0.00,0,￥0.00
DB0495,30,操作系统服务,OpenEuler,1,套/日,0,192.168.247.251,2026/04/15,,2026/07/14,2026/04/15,2026/04/30,16,,￥0.00,0,￥0.00
DB0496,30,操作系统服务,OpenEuler,1,套/日,0,192.168.247.19,2026/04/15,,2026/07/14,2026/04/15,2026/04/30,16,,￥0.00,0,￥0.00
DB0497,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,,2026/01/29,,2026/04/29,2026/04/01,2026/04/30,30,,￥58.50,2,￥3.90
DB0498,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,,2026/01/29,,2026/04/29,2026/04/01,2026/04/30,30,,￥58.50,2,￥3.90
DB0499,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,,2026/01/29,,2026/04/29,2026/04/01,2026/04/30,30,,￥58.50,2,￥3.90
DB0500,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,,2026/01/29,,2026/04/29,2026/04/01,2026/04/30,30,,￥58.50,2,￥3.90
DB0501,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,,2026/01/29,,2026/04/29,2026/04/01,2026/04/30,30,,￥58.50,2,￥3.90
DB0502,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,,2026/01/29,,2026/04/29,2026/04/01,2026/04/30,30,,￥58.50,2,￥3.90
DB0503,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,,2026/04/15,,2026/07/14,2026/04/15,2026/04/30,16,,￥31.20,0,￥0.00
DB0504,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,,2026/04/15,,2026/07/14,2026/04/15,2026/04/30,16,,￥31.20,0,￥0.00
DB0505,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,,2026/04/15,,2026/07/14,2026/04/15,2026/04/30,16,,￥31.20,0,￥0.00
DB0506,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,,2026/04/15,,2026/07/14,2026/04/15,2026/04/30,16,,￥31.20,0,￥0.00
DB0507,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,,2026/04/15,,2026/07/14,2026/04/15,2026/04/30,16,,￥31.20,0,￥0.00
DB0508,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,,2026/04/15,,2026/07/14,2026/04/15,2026/04/30,16,,￥31.20,0,￥0.00
DB0509,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,,2026/04/15,,2026/07/14,2026/04/15,2026/04/30,16,,￥31.20,0,￥0.00
DB0510,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,,2026/04/15,,2026/07/14,2026/04/15,2026/04/30,16,,￥31.20,0,￥0.00
DB0511,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,,2026/04/15,,2026/07/14,2026/04/15,2026/04/30,16,,￥31.20,0,￥0.00
